curated_collection,document_id,path,repository_id,metadata_type,title,added,document_created,document_updated
bibliophilly,6025,0027/cpp_10a_135,0027,TEI,De cura sterilitatis mulierum and De infirmitatis,2018-02-12T21:24:00+00:00,2018-02-12T21:16:41+00:00,2018-02-12T23:57:48+00:00
bibliophilly,6027,0023/lewis_e_031,0023,TEI,Bible,2018-02-13T18:27:29+00:00,2018-02-13T17:44:09+00:00,2018-02-14T00:50:40+00:00
bibliophilly,6028,0023/lewis_e_032,0023,TEI,Bible; Notes on a church synod,2018-02-13T18:27:29+00:00,2018-02-13T17:45:35+00:00,2018-02-14T00:50:40+00:00
bibliophilly,6057,0027/cpp_10a_189,0027,TEI,De fructibus vescendis,2018-02-19T20:31:44+00:00,2018-02-19T16:52:36+00:00,2018-02-21T23:21:26+00:00
bibliophilly,6058,0027/cpp_10a_210,0027,TEI,Regimen sanitatis ad regem Aragonum,2018-02-19T20:31:44+00:00,2018-02-19T19:43:37+00:00,2018-02-21T23:21:26+00:00
bibliophilly,6086,0028/ms_484_013,0028,TEI,Epistolae cum glossis,2018-02-27T21:09:09+00:00,2018-02-27T18:56:50+00:00,2018-02-28T00:37:42+00:00
bibliophilly,6088,0028/ms_272_017,0028,TEI,Diploma in civil and canon law,2018-02-27T21:09:10+00:00,2018-02-27T19:42:26+00:00,2018-02-28T00:37:42+00:00
bibliophilly,6089,0028/ms_443_021,0028,TEI,L'outre d'amour pour amour morte,2018-02-27T21:09:10+00:00,2018-02-27T20:53:33+00:00,2018-02-28T00:37:42+00:00
bibliophilly,6107,0028/ms_484_015,0028,TEI,Commentum super libro Porphyrii Isagoge; De decim predicamentis,2018-03-05T17:57:52+00:00,2018-03-05T15:58:06+00:00,2018-03-05T23:20:47+00:00
bibliophilly,6108,0027/cpp_10a_249,0027,TEI,Lilium medicinae,2018-03-06T21:26:36+00:00,2018-03-06T20:50:07+00:00,2018-03-06T23:29:02+00:00
bibliophilly,6109,0028/ms_239_006,0028,TEI,De tartaro et eius origine in corpore humano,2018-03-06T22:01:50+00:00,2018-03-06T21:46:59+00:00,2018-03-06T23:29:02+00:00
bibliophilly,6162,0027/cpp_10a_233,0027,TEI,De crisibus libri III,2018-03-09T20:37:55+00:00,2018-03-09T19:55:12+00:00,2018-03-09T23:37:14+00:00
bibliophilly,6161,0023/lewis_e_020,0023,TEI,De quattuor virtutibus caritatis (On the four virtues of charity),2018-03-09T20:37:55+00:00,2018-03-09T19:16:52+00:00,2018-03-09T23:37:14+00:00
bibliophilly,6163,0023/lewis_e_034,0023,TEI,Bible,2018-03-09T21:11:15+00:00,2018-03-09T20:58:17+00:00,2018-03-10T23:44:59+00:00
bibliophilly,6164,0028/ms_239_025,0028,TEI,Ad sacratissimum Britanniae regem Henricum,2018-03-12T20:42:31+00:00,2018-03-12T14:33:23+00:00,2018-03-12T22:52:12+00:00
